type,game_id,team_home,team_away,schedule_week,schedule_season,state_of_game,game_url,home_score,away_score
reg,2011101602,PIT,JAC,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101602/2011101602_gtd.json,17,13
reg,2011101603,WAS,PHI,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101603/2011101603_gtd.json,13,20
reg,2011101604,DET,SF,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101604/2011101604_gtd.json,19,25
reg,2011101605,GB,STL,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101605/2011101605_gtd.json,24,3
reg,2011101606,ATL,CAR,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101606/2011101606_gtd.json,31,17
reg,2011101607,OAK,CLE,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101607/2011101607_gtd.json,24,17
reg,2011101608,BAL,HOU,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101608/2011101608_gtd.json,29,14
reg,2011101609,TB,NO,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101609/2011101609_gtd.json,26,20
reg,2011101610,NE,DAL,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101610/2011101610_gtd.json,20,16
reg,2011101611,CHI,MIN,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101611/2011101611_gtd.json,39,10
reg,2011101700,NYJ,MIA,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101700/2011101700_gtd.json,24,6
reg,2011102300,MIA,DEN,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102300/2011102300_gtd.json,15,18
reg,2011102301,NYJ,SD,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102301/2011102301_gtd.json,27,21
reg,2011102302,TEN,HOU,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102302/2011102302_gtd.json,7,41
reg,2011102303,DET,ATL,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102303/2011102303_gtd.json,16,23
reg,2011102304,CAR,WAS,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102304/2011102304_gtd.json,33,20
reg,2011102305,TB,CHI,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102305/2011102305_gtd.json,18,24
reg,2011102306,CLE,SEA,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102306/2011102306_gtd.json,6,3
reg,2011102307,ARI,PIT,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102307/2011102307_gtd.json,20,32
reg,2011102308,OAK,KC,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102308/2011102308_gtd.json,0,28
reg,2011102309,MIN,GB,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102309/2011102309_gtd.json,27,33
reg,2011102310,DAL,STL,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102310/2011102310_gtd.json,34,7
reg,2011102311,NO,IND,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102311/2011102311_gtd.json,62,7
reg,2011102400,JAC,BAL,7,2011,POST,http://www.nfl.com/liveupdate/game-center/2011102400/2011102400_gtd.json,12,7
reg,2011103000,NYG,MIA,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103000/2011103000_gtd.json,20,17
reg,2011103001,HOU,JAC,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103001/2011103001_gtd.json,24,14
reg,2011103002,TEN,IND,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103002/2011103002_gtd.json,27,10
reg,2011103003,CAR,MIN,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103003/2011103003_gtd.json,21,24
reg,2011103004,STL,NO,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103004/2011103004_gtd.json,31,21
reg,2011103005,BAL,ARI,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103005/2011103005_gtd.json,30,27
reg,2011103006,DEN,DET,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103006/2011103006_gtd.json,10,45
reg,2011103007,BUF,WAS,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103007/2011103007_gtd.json,23,0
reg,2011103008,PIT,NE,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103008/2011103008_gtd.json,25,17
reg,2011103009,SF,CLE,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103009/2011103009_gtd.json,20,10
reg,2011103010,SEA,CIN,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103010/2011103010_gtd.json,12,34
reg,2011103011,PHI,DAL,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103011/2011103011_gtd.json,34,7
reg,2011103100,KC,SD,8,2011,POST,http://www.nfl.com/liveupdate/game-center/2011103100/2011103100_gtd.json,23,20
reg,2011110600,BUF,NYJ,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110600/2011110600_gtd.json,11,27
reg,2011110601,HOU,CLE,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110601/2011110601_gtd.json,30,12
reg,2011110602,KC,MIA,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110602/2011110602_gtd.json,3,31
reg,2011110603,DAL,SEA,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110603/2011110603_gtd.json,23,13
reg,2011110604,WAS,SF,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110604/2011110604_gtd.json,11,19
reg,2011110605,NO,TB,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110605/2011110605_gtd.json,27,16
reg,2011110606,IND,ATL,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110606/2011110606_gtd.json,7,31
reg,2011110607,OAK,DEN,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110607/2011110607_gtd.json,24,38
reg,2011110608,TEN,CIN,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110608/2011110608_gtd.json,17,24
reg,2011110609,NE,NYG,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110609/2011110609_gtd.json,20,24
reg,2011110610,SD,GB,9,2011,POST,http://www.nfl.com/liveupdate/game-center/2011110610/2011110610_gtd.json,38,45
